OBJECTID,male_high_white_old,male_med_white_old,male_low_white_old,female_high_white_old,female_med_white_old,female_low_white_old,male_high_poc_old,male_med_poc_old,male_low_poc_old,female_high_poc_old,female_med_poc_old,female_low_poc_old,length,male_high_white_new,male_med_white_new,male_low_white_new,female_high_white_new,female_med_white_new,female_low_white_new,male_high_poc_new,male_med_poc_new,male_low_poc_new,female_high_poc_new,female_med_poc_new,female_low_poc_new
41673,2.711255608,2.276716296,2.001478764,2.687841371,2.37496956,2.614028675,2.245573613,1.702101426,1.695792923,2.220106137,1.688715796,1.777830292,316.8723241,3.976980626,3.979234719,3.830310858,3.956603664,3.907080414,3.782640762,3.946776005,3.964185806,3.698580971,3.907998295,3.872704098,3.681803152
41792,2.56888596,2.22630589,2.073522302,2.443979647,2.129584513,2.303503207,2.425297262,2.054065692,2.05523754,2.334181883,1.954648537,2.027413658,420.2490891,3.816687546,3.860004203,3.800746473,3.731782715,3.726215,3.691276168,3.810716163,3.873943256,3.735091709,3.687420324,3.682761006,3.614406145
41876,2.925439191,2.495398419,2.21311819,2.908830886,2.605997981,2.84835608,2.454852323,1.915486256,1.90830404,2.432743964,1.906368797,1.996450537,176.9291536,4.126333076,4.121142318,3.962959384,4.112038965,4.058197662,3.924579508,4.093094809,4.10155073,3.828718785,4.06307713,4.023264604,3.824277019
41879,2.751655922,2.321121626,2.039068056,2.734623542,2.430974542,2.672879453,2.281467978,1.741564955,1.734276706,2.259253298,1.732400551,1.822181977,174.4510448,3.997376253,3.991744282,3.83322168,3.98350393,3.929275335,3.795441249,3.963940756,3.971900477,3.698420537,3.934180313,3.893894968,3.694483154
41893,2.124144718,2.151887512,2.189903842,1.984591168,2.107874451,2.635743032,1.834321828,1.757200845,1.882702566,1.721752538,1.650445136,1.961573024,195.2617258,3.708659261,3.70241122,3.462358936,3.65068799,3.594040893,3.421644379,3.805471221,3.871410292,3.594171209,3.699443568,3.698497051,3.523465333
42051,2.648159996,2.221627908,1.934430887,2.636486572,2.341114304,2.585737041,2.174201512,1.638189981,1.630340856,2.154525516,1.632122697,1.722867566,377.5483869,4.108658282,4.097487204,3.934215818,4.099344092,4.042316824,3.903154912,4.073809233,4.075058369,3.799882836,4.050897185,4.007676736,3.804803789
42071,2.699443163,2.269314055,1.987163925,2.682708164,2.379684277,2.621984461,2.228944434,1.689495606,1.682331892,2.206774086,1.680299516,1.770365209,171.7728227,4.231091016,4.225986306,4.067823406,4.216692604,4.162870703,4.029306567,4.197829139,4.206398587,3.933516022,4.167656073,4.127860626,3.928887082
42148,2.072494423,2.069051518,2.041722907,1.939934627,2.047021377,2.549157414,1.782740297,1.675793058,1.755375403,1.676207407,1.587713722,1.867450082,134.8274883,3.859757214,3.932363306,3.717210942,3.733292827,3.731098554,3.584808658,3.972324184,4.128808395,3.841981283,3.795370115,3.853977337,3.676683789
42352,2.700470917,2.272269101,1.987356194,2.686493615,2.38761136,2.631199246,2.228064776,1.690442863,1.682917835,2.207256137,1.682957275,1.773404146,484.8410985,3.999433207,3.990766383,3.829055505,3.987845156,3.931975843,3.794766973,3.964898208,3.969212477,3.694147214,3.938719855,3.896725777,3.694930512
42674,2.680946702,2.258577964,1.966100928,2.674767986,2.387891142,2.634897256,2.203418963,1.671526876,1.662897751,2.186447024,1.668810097,1.760249083,599.3257702,4.179666274,4.161653928,3.994900069,4.176269086,4.11595726,3.972269782,4.143925228,4.136915357,3.862579787,4.129387291,4.082600228,3.877885478
42684,2.782703223,2.348520137,2.072690843,2.759853081,2.44779968,2.687142827,2.316602522,1.773446366,1.767070628,2.291414568,1.76041745,1.849616902,536.6624027,3.985280479,3.986844943,3.836814277,3.965401309,3.915410426,3.78995425,3.954656794,3.971257888,3.704603377,3.916586294,3.880799549,3.688901877
42732,2.900850553,2.468104624,2.189950893,2.88024118,2.571452472,2.811916953,2.433104947,1.891241195,1.884601378,2.409028856,1.879625217,1.969163527,69.47288955,4.097557803,4.095980273,3.941383589,4.079858969,4.02773055,3.89802322,4.065068194,4.077988361,3.807243394,4.030068646,3.991984466,3.79609108
42785,2.636682056,2.202264095,1.926824161,2.613461887,2.300870138,2.540028566,2.17085534,1.627490643,1.621160486,2.145484445,1.614227916,1.703372856,76.67376579,4.139268977,4.141233303,3.991808831,4.11907758,4.069338801,3.94445446,4.108855876,4.125933319,3.859829102,4.07033608,4.0348116,3.843462831
42795,2.628800547,2.29096559,2.133761357,2.509091209,2.201615602,2.374032388,2.480361994,2.112198074,2.111087261,2.393222854,2.017786367,2.088431477,990.1389792,3.967396265,4.001390585,3.92612909,3.889565251,3.8776986,3.826763969,3.959024926,4.011587065,3.856227855,3.843167494,3.830867045,3.744592549
42816,2.871660073,2.442980569,2.158737331,2.857000058,2.55709602,2.800359252,2.399724078,1.86164513,1.854200684,2.378575696,1.853736177,1.944081858,436.5552499,4.070213375,4.062785987,3.902579611,4.057813348,4.002790395,3.866982824,4.036363942,4.042112461,3.768231461,4.009062828,3.967996599,3.767397194
43016,2.913689051,2.483577074,2.201401793,2.896979372,2.593992909,2.836305502,2.443172467,1.903739739,1.896573198,2.421014752,1.894559451,1.984629055,172.5235424,4.210317884,4.205164931,4.046933785,4.19594932,4.142092411,4.008466893,4.177024876,4.185539103,3.912595701,4.14689281,4.107059146,3.908029011
43079,2.703089951,2.273484459,1.990231013,2.687305711,2.385585723,2.62815428,2.231999509,1.692993022,1.685588192,2.210366987,1.68453482,1.774562237,219.9395421,4.20824108,4.201512692,4.041956881,4.195293112,4.140541464,4.005543055,4.174534274,4.181150137,3.907268835,4.146215567,4.105397195,3.905200063
43089,2.037761502,2.045282109,2.012515061,1.911026215,2.032721739,2.534933945,1.750021981,1.657904316,1.738294401,1.648965795,1.576373901,1.86296249,446.2349297,3.823643166,3.887560207,3.650445459,3.722954989,3.7210162,3.558569487,3.942317175,4.090645679,3.776623266,3.792866835,3.853908362,3.656786334
43139,2.782492448,2.350639426,2.071088688,2.763213908,2.456406691,2.697495746,2.313794292,1.772745177,1.765913809,2.290369141,1.76196173,1.851672407,172.0340837,3.960455913,3.958256935,3.803297677,3.943672207,3.891488509,3.76118883,3.928238745,3.940306539,3.669643527,3.894640646,3.856573838,3.660302405
43283,2.938948436,2.509961596,2.22615522,2.92385238,2.623290998,2.866352861,2.467312356,1.928941158,1.921555499,2.445949082,1.920762218,2.011049043,587.7376934,4.021427116,4.014515997,3.854764296,4.008594404,3.953846053,3.818531403,3.987718938,3.994090751,3.720434561,3.959799009,3.919025432,3.718781222
43286,2.802312428,2.392328139,2.087032687,2.810673449,2.547239703,2.799827819,2.316286802,1.797317144,1.786495082,2.306467209,1.803231752,1.896303624,1200.984345,4.09605951,4.059075043,3.891629084,4.109488634,4.041263111,3.892862622,4.061191161,4.031642263,3.773751374,4.069848283,4.014158348,3.815437817
43367,2.792753347,2.357441076,2.079898473,2.770202374,2.457374545,2.694951792,2.327218331,1.78247218,1.774886629,2.302906016,1.771193338,1.858662833,60.950752,4.124445639,4.11897405,3.963081278,4.110759906,4.05592405,3.92501739,4.091226449,4.099551905,3.826654356,4.05963391,4.018257393,3.820509495
43380,2.638355796,2.291983485,2.142922982,2.5093094,2.189248122,2.36393504,2.498838527,2.125212341,2.128138296,2.404625585,2.021907658,2.09618799,172.6164976,3.731325703,3.780916472,3.734828504,3.642901679,3.642353015,3.620465755,3.727954228,3.798352997,3.674660259,3.60158332,3.603232016,3.550130843
43390,2.91192383,2.477384104,2.20214719,2.888509906,2.575637687,2.814697934,2.446241304,1.902768768,1.896461195,2.42077426,1.889383421,1.978498754,88.06733146,4.000675341,4.002893222,3.853888618,3.980308715,3.930748279,3.806244511,3.970427462,3.987799823,3.722102508,3.931660563,3.896324981,3.705353686
43546,2.750689684,2.34252308,2.065331816,2.737772663,2.45515203,2.672077254,2.288097994,1.759591931,1.731472422,2.272053677,1.763719319,1.825557235,295.9032247,4.297801988,4.289827758,4.159804674,4.287801662,4.232141812,4.123884083,4.251029364,4.248751859,4.015252776,4.229465755,4.180481278,4.015320433
43590,2.701483017,2.28479558,1.985952167,2.702277267,2.426462666,2.676285524,2.219705568,1.693634337,1.683977392,2.206164265,1.695100403,1.787362693,889.3371931,4.326017331,4.298848037,4.130073642,4.330608172,4.266202194,4.118746408,4.290006021,4.272044236,4.002921111,4.286595958,4.235267268,4.031321184
43827,2.67023741,2.239699337,1.958154553,2.652905422,2.348990761,2.591008279,2.200157852,1.660326361,1.653240337,2.177692781,1.650758501,1.740740834,205.9930387,4.249782999,4.245407642,4.088038222,4.234802864,4.181402315,4.048640662,4.216795639,4.226237927,3.953900448,4.185791948,4.146444798,3.948128239
43910,1.915108474,1.915575215,1.886868516,1.784413464,1.896617812,2.399405251,1.625748999,1.52389579,1.603958174,1.520867522,1.437714507,1.720098108,239.5298582,3.937772025,4.006695729,3.783718894,3.819744485,3.816688793,3.664124206,4.051986557,4.20493455,3.909068312,3.883984786,3.942340134,3.758374034
44033,2.801681486,2.368868524,2.090820767,2.78094883,2.471998378,2.7123807,2.334031753,1.792106306,1.785459767,2.309888391,1.780410769,1.869913256,417.2412961,4.223129484,4.22259198,4.069762403,4.205024913,4.15383465,4.025616527,4.191642321,4.205697504,3.936748723,4.156148763,4.119126318,3.924712564
44262,2.764148768,2.34529336,2.048773783,2.762347681,2.482378338,2.731180924,2.283916171,1.755599473,1.746329652,2.269097975,1.755517797,1.847481324,820.9167045,4.238362383,4.214640352,4.046300731,4.239935488,4.177030395,4.030701621,4.202336061,4.188481307,3.916879832,4.194746586,4.145095744,3.940448861
44275,2.891393004,2.458630138,2.180502943,2.870739018,2.561902217,2.802325233,2.423685546,1.881805644,1.875151427,2.39958169,1.870159744,1.959675401,199.231379,3.988203369,3.987494964,3.834367764,3.970192413,3.91886465,3.790390292,3.956578238,3.970442143,3.701192076,3.921210438,3.884038328,3.68936657
44324,2.827245066,2.393042116,2.115439829,2.80542606,2.494263342,2.733242099,2.360739627,1.817281929,1.810227391,2.336412601,1.805653438,1.894178895,195.4547944,4.099404221,4.096745478,3.942418587,4.083228088,4.030371299,3.900948649,4.067103136,4.078730384,3.80755739,4.033167412,3.994160633,3.798044624
44580,2.796110263,2.369540063,2.082393792,2.784384043,2.488931936,2.73353013,2.322187266,1.786138586,1.778295756,2.302484986,1.780038765,1.870775927,375.0266373,4.166535853,4.155464164,3.992306388,4.157156598,4.10019663,3.961140541,4.131739536,4.133103417,3.858012343,4.108737794,4.065591294,3.862805256
44680,2.785387874,2.354882247,2.07328912,2.768102872,2.464258767,2.706297992,2.315275411,1.775474175,1.768381428,2.292833362,1.765935534,1.855923941,148.9441903,3.969543947,3.965133573,3.807747933,3.954603024,3.90119171,3.768403249,3.936560617,3.945957606,3.673628317,3.905615054,3.866257628,3.667928013
44708,2.923419801,2.49360026,2.210996288,2.90713284,2.604779865,2.847290114,2.452608272,1.913450216,1.906226838,2.43065878,1.904532669,1.994659735,189.9415307,4.194785722,4.189167924,4.030503911,4.18081718,4.126717751,3.992624333,4.161367699,4.169317132,3.89613891,4.131811623,4.091722391,3.892339993
44773,2.903708499,2.472958492,2.191730237,2.886066452,2.581688988,2.823560257,2.43384721,1.893818201,1.886773594,2.411229398,1.88405716,1.973997006,134.5554967,4.14487201,4.140828749,3.983787358,4.129605159,4.076378998,3.943967163,4.111979105,4.121825387,3.849682911,4.080561557,4.04139727,3.843354212
44847,2.711117319,2.276567114,2.001345956,2.687711278,2.374828644,2.613917401,2.245421421,1.701940037,1.695655963,2.219965331,1.688561883,1.777698281,208.5276797,3.939111767,3.940280392,3.789503,3.919104488,3.868564748,3.742561675,3.907802213,3.924037829,3.656522137,3.869446377,3.832988639,3.640525325
44852,2.020544874,2.047502582,2.085543555,1.88065139,2.002969385,2.530684134,1.730620775,1.652479882,1.777731895,1.617713907,1.545339804,1.85589219,21.16705844,3.875991977,3.871200885,3.632718988,3.815861623,3.759652603,3.588408676,3.97274548,4.040244127,3.763595849,3.864489602,3.864085655,3.689331796
44994,2.792604852,2.369306258,2.077960087,2.785229027,2.496485246,2.742983664,2.315838381,1.783014405,1.77455716,2.298277297,1.779571669,1.87086243,631.7717321,4.11130942,4.094838414,3.928732112,4.106584146,4.047002794,3.904213613,4.075729834,4.070573714,3.795840758,4.059322914,4.013335309,3.80886547
45017,2.812135673,2.380272866,2.100737165,2.792841069,2.486011411,2.727091233,2.343449452,1.802391276,1.795560448,2.32001594,1.791597627,1.88130479,186.349225,4.003440668,4.001314941,3.846496552,3.986626584,3.934509436,3.804325239,3.971295741,3.983442597,3.712930162,3.937659648,3.899666331,3.703515075
45035,2.94409417,2.521099235,2.229388665,2.937127253,2.649001796,2.895694881,2.467061582,1.934543885,1.926051351,2.449708143,1.931352047,2.022712106,602.9640685,4.164019601,4.146224662,3.978568525,4.159997077,4.099406734,3.955250897,4.127535177,4.120880182,3.844960929,4.112060786,4.064932744,3.859346875
45067,2.90779577,2.495589984,2.192318394,2.91372254,2.646259522,2.897995429,2.423094289,1.901747226,1.89130846,2.412078238,1.9062416,1.999065489,1904.692161,4.363999406,4.33003668,4.161616041,4.374616951,4.30744055,4.158856629,4.328494382,4.302498948,4.040225071,4.333339433,4.278865117,4.077848272
45085,2.070351057,2.074224495,2.043241763,1.941608108,2.05850217,2.561075679,1.781718257,1.684575454,1.764614849,1.678688169,1.60066692,1.885081099,259.0950319,3.892982995,3.961651934,3.729065051,3.781597939,3.780286878,3.6220222,4.011171412,4.165583238,3.856791736,3.849534623,3.911522311,3.719043429
45174,2.805161739,2.375406026,2.092709017,2.788967249,2.486752503,2.729306448,2.334285684,1.795187738,1.787952491,2.312381905,1.786327689,1.87646777,581.6440657,4.016144,4.010402949,3.851602322,4.002269574,3.948095955,3.813867025,3.982674872,3.990478043,3.717203232,3.953252218,3.913083374,3.713589436
45261,2.813061089,2.391439756,2.096789845,2.808531724,2.52372517,2.770510817,2.334872085,1.803540387,1.794096441,2.319035009,1.802495158,1.893276225,722.5194168,4.109318549,4.086338693,3.917033991,4.110264031,4.047125808,3.900751837,4.072537246,4.05961717,3.78448579,4.063167418,4.013077065,3.806694382
45392,2.011909097,2.015539891,1.98493623,1.882969856,1.999480746,2.502192696,1.723186274,1.625676244,1.70581431,1.619943741,1.541490177,1.82581918,236.687427,3.810493511,3.879573979,3.647634838,3.69795732,3.69662534,3.538889567,3.928586978,4.083493676,3.77559262,3.765695231,3.827650604,3.635906259
45429,2.519294892,2.174600859,2.024451529,2.39175235,2.074091967,2.24878522,2.378255103,2.005773135,2.0082882,2.285118131,1.903813694,1.97780892,251.8509998,3.714327588,3.761915392,3.711560701,3.626684207,3.624367591,3.598156871,3.710125453,3.77824406,3.649773308,3.584355025,3.583784903,3.525822397
45733,2.90413221,2.477096135,2.190428637,2.89185385,2.595502003,2.839771113,2.430611697,1.894089581,1.886270981,2.410670116,1.887718411,1.978305276,2076.723368,4.13289987,4.122185518,3.959201833,4.123213808,4.06636941,3.927607727,4.098106439,4.099916706,3.824610634,4.074560978,4.03151925,3.828782058
45768,2.659045555,2.231190796,1.945793565,2.645547227,2.347397322,2.591196259,2.18631554,1.649025698,1.641427244,2.165740591,1.641834977,1.732339151,303.1189564,4.01239219,4.003448423,3.841825127,4.001196772,3.945316036,3.808031717,3.978040548,3.981978347,3.707306089,3.95244876,3.910459886,3.708764961
45818,2.812539208,2.379761753,2.101657671,2.791861659,2.482991413,2.723401565,2.344849235,1.802956039,1.796303434,2.32073335,1.791295209,1.880806363,141.8462915,4.200861642,4.200229756,4.047245764,4.182815335,4.131554394,4.003199647,4.169307425,4.183254998,3.914155905,4.133894111,4.096795456,3.902247197
45826,2.844517074,1.967157853,1.978066777,2.818983639,1.763714023,1.864748979,2.727112163,1.969915522,2.04310296,2.673475312,1.833332996,1.990495568,224.8620202,3.069917769,3.042551692,2.933143489,2.978573016,2.927835488,2.796336387,3.047043033,3.03247957,2.858343167,2.925763196,2.875361468,2.707617253
45850,2.121134611,2.109463591,2.009233275,2.005876209,2.120425158,2.574476361,1.840945814,1.732915059,1.767941928,1.752500405,1.67714569,1.927390218,2145.248791,4.118654351,4.203741607,4.014389219,4.016818096,4.050897078,3.929703109,4.232905206,4.394728277,4.133642071,4.095019597,4.183340523,4.016019492
45879,2.922589792,2.493958531,2.208437842,2.908692757,2.60949021,2.852418144,2.450410772,1.912195617,1.904214911,2.429903492,1.905315967,1.995114843,325.7583219,4.165283599,4.154447198,3.991356214,4.155803918,4.098559994,3.960054601,4.130230633,4.131959047,3.855466897,4.106232283,4.062621871,3.859430921
45925,2.639849212,2.206727596,1.929171914,2.618665592,2.30903245,2.549217016,2.172520452,1.630316443,1.623750309,2.148161048,1.618339593,1.707796093,182.7578427,4.062808567,4.061818259,3.907982344,4.044618048,3.992825097,3.863866907,4.030556079,4.044185388,3.774050336,3.994843714,3.957106,3.761884891
45935,1.913799192,1.935829496,1.901541384,1.794170537,1.933328601,2.434267529,1.630466967,1.558325658,1.643177583,1.536392195,1.484897348,1.780852408,1024.004438,4.088612477,4.134204576,3.897169517,4.023137987,4.017834032,3.851952655,4.204473925,4.325734217,4.015547329,4.098071273,4.1512516,3.952406679
46097,2.830388939,2.400061862,2.118204005,2.813366252,2.509912092,2.752077081,2.360091691,1.820457455,1.813332093,2.337779564,1.811082363,1.901108641,592.6325124,4.18939306,4.184609813,4.02676251,4.174722402,4.121072608,3.987842833,4.156226829,4.165185647,3.892490127,4.125662189,4.086048305,3.887334356
46216,1.99222869,2.002432927,1.970856851,1.866352575,1.990979869,2.494100329,1.704780102,1.616005335,1.697832133,1.604414091,1.535092331,1.823860976,498.5158623,4.065957238,4.124272211,3.889344031,3.97129909,3.966431957,3.803613189,4.182086366,4.322025767,4.013077855,4.040563929,4.09682312,3.902113988
46404,2.709483811,2.28117213,1.996410985,2.695343596,2.396223738,2.639727039,2.237191566,1.699463701,1.691950108,2.216299668,1.691876337,1.782292823,277.0848251,4.272388889,4.264300427,4.103478256,4.260520624,4.205128244,4.06867488,4.2383275,4.243284711,3.969062514,4.211782539,4.170320046,3.969241249
46417,1.994176682,1.977022282,1.877982321,1.87621082,1.984099517,2.438861167,1.712477187,1.597063322,1.630714689,1.621398375,1.538304222,1.785277885,694.7064646,3.97405395,4.067881171,3.87393385,3.856585591,3.895133044,3.775177957,4.090367115,4.265833586,4.001127859,3.933009933,4.027597816,3.86046634
46555,2.093214925,2.08849947,2.050273563,1.962757902,2.07085509,2.567440346,1.804777656,1.697603327,1.771664267,1.701237066,1.614095478,1.890196952,235.4180726,3.796438533,3.865909276,3.639034934,3.685804715,3.686292448,3.531854479,3.910810032,4.064145713,3.758110491,3.749756397,3.812063208,3.619549269
46563,2.854847111,2.421548533,2.144276998,2.833372548,2.523329878,2.763352392,2.387736228,1.845371912,1.838823021,2.363227552,1.833210172,1.922608893,435.9815557,4.108295257,4.108428038,3.956383412,4.089579807,4.038732007,3.911330982,4.077008783,4.091889846,3.823504896,4.040620477,4.003945562,3.81023618
46593,1.945069554,1.951102122,1.92024266,1.81720146,1.936670997,2.4397068,1.656741484,1.562390385,1.643166601,1.554452249,1.479271208,1.765291362,326.0514472,4.022832539,4.089798634,3.855087563,3.915058961,3.913358318,3.753236732,4.14155328,4.293986122,3.983096378,3.984068495,4.045704815,3.851590479
46626,2.080292377,2.058721389,1.986753162,1.951506388,2.044577104,2.510104134,1.798268184,1.674280711,1.726599486,1.700903905,1.601673851,1.851934977,906.0229267,3.858367691,3.897947487,3.711780244,3.79932673,3.796514417,3.661049287,3.946559882,4.045247341,3.786279656,3.851307803,3.894300991,3.718955021
46628,2.749375093,2.319345358,2.033820533,2.734585428,2.433312792,2.674461175,2.278377637,1.738501977,1.729811986,2.257903477,1.73208067,1.820502591,358.5204474,4.113198108,4.099077289,3.934279552,4.106664641,4.047156801,3.907122918,4.077091103,4.074938511,3.796603915,4.055829609,4.009451077,3.804563573
46745,2.931088271,2.516764057,2.215532289,2.934634585,2.663264757,2.914142884,2.447718624,1.924127692,1.914068655,2.435535207,1.927224813,2.019804502,1764.69073,4.12460204,4.093351867,3.923886187,4.132547437,4.066203848,3.917426798,4.088307307,4.065544106,3.799106312,4.089486287,4.03595984,3.832812984
46843,2.097042046,2.105979909,2.074604384,1.970557387,2.093628331,2.596756913,1.809305298,1.718830204,1.800322258,1.708343236,1.637232302,1.925174744,447.49608,4.086314296,4.147686613,3.911875507,3.98730801,3.983599863,3.821086282,4.203715748,4.348298454,4.037475909,4.056749571,4.115140574,3.919904618
46872,2.926058949,2.496544798,2.213496493,2.910209473,2.608514916,2.851227062,2.454943878,1.916073473,1.908789119,2.433209318,1.907427358,1.99761208,234.2619081,4.065216167,4.059180896,3.900223137,4.051646241,3.997363728,3.862905367,4.031751905,4.039182485,3.76594033,4.002775763,3.96249719,3.762883395
46886,2.781670559,2.349942355,2.070199089,2.762577505,2.45604618,2.697222972,2.312840146,1.771905694,1.765048765,2.28950608,1.761238189,1.850973761,277.8879532,4.141491151,4.139141824,3.984059517,4.124860712,4.07261591,3.94216664,4.109260463,4.121138046,3.850429384,4.075888678,4.037761382,3.841382509
47082,2.800132564,2.388935784,2.084731751,2.807173753,2.541549546,2.793680425,2.314819767,1.794549866,1.783937,2.304351656,1.799695782,1.892635008,1145.54337,4.155233495,4.119859552,3.951804155,4.167146185,4.099456964,3.950886112,4.119976087,4.092319872,3.831945401,4.126580153,4.071514299,3.871463087
47132,2.76779952,2.335502319,2.056641916,2.747851662,2.440056125,2.680821205,2.299582208,1.758126231,1.751380447,2.27582656,1.746923375,1.836538726,205.0094737,3.95538289,3.953947599,3.799938182,3.937987437,3.886254504,3.75689093,3.923488011,3.936470806,3.666552144,3.889011704,3.851419067,3.655971286
47385,2.841830416,2.418798512,2.127125263,2.834799632,2.546593025,2.793238451,2.364843588,1.832286225,1.82377955,2.347452311,1.82905296,1.92038662,566.8377614,4.246745959,4.22983314,4.063533374,4.24240152,4.182610136,4.039556474,4.211117698,4.205429814,3.930798716,4.195247319,4.149030186,3.944480341
47462,2.721480401,2.30569816,2.005857505,2.723368869,2.449293578,2.699488734,2.239083998,1.713949185,1.704096062,2.226097275,1.716098549,1.808438423,935.3849943,4.2612496,4.23252267,4.063666337,4.267232974,4.202158878,4.054316407,4.225292413,4.205478354,3.937595826,4.223760275,4.171671088,3.968161331
47553,2.778988736,2.017880181,1.927239408,2.738379704,1.960659928,1.942272383,2.741306045,1.994740356,1.915070499,2.72853641,1.992309016,1.940071907,212.8946035,3.895540808,3.85383199,3.735205931,3.86974862,3.812450213,3.690090672,3.900933944,3.888977509,3.738695489,3.837879213,3.791472865,3.655574398
47639,2.023465373,2.011374956,1.910639384,1.908157789,2.022319577,2.476005356,1.743277654,1.634758424,1.669401489,1.654846844,1.57907227,1.828854865,944.1065838,3.973407357,4.058862286,3.869038251,3.871433452,3.905935305,3.784634477,4.08786966,4.25027695,3.988336846,3.949673107,4.038537261,3.870610511
47709,2.898850858,2.470382213,2.185842255,2.884492897,2.585040592,2.828447699,2.426706488,1.888828997,1.881348919,2.405708411,1.881107434,1.971497933,268.1890035,4.06873432,4.060765905,3.899877943,4.056688287,4.001293163,3.864856872,4.03457957,4.039703528,3.765267935,4.007768113,3.966295572,3.765148714
47717,2.898265776,2.466730268,2.186691484,2.879464062,2.573360887,2.814681536,2.42922624,1.888469487,1.881578866,2.40603708,1.877984609,1.967764491,87.9885563,3.985159635,3.982335521,3.826561365,3.96883972,3.916259309,3.785180883,3.952632662,3.963962316,3.692627385,3.919692428,3.881202432,3.684233397
47730,2.07298285,2.074646816,2.045083825,1.942976775,2.05685755,2.559625459,1.78389087,1.683719514,1.763733132,1.679608087,1.598286076,1.881425138,161.5431316,3.801664433,3.87385312,3.645655737,3.68300881,3.682533885,3.528272438,3.91950508,4.078069358,3.774328849,3.749847807,3.812753332,3.624459909
48142,2.711966933,2.282137392,1.999547872,2.695664572,2.393289475,2.635791433,2.241166438,1.701998897,1.694776431,2.219209033,1.693071666,1.783195705,189.3415309,4.016763282,4.01120363,3.852640966,4.002768249,3.948719028,3.81470987,3.983397484,3.99141063,3.718335584,3.953807251,3.913773541,3.714475518
